make,model,year,mileage,avg_trip_length_miles,maintenance_events,past_failures,severity_score,maintenance_cost_last_year,fuel_cost_last_year,complaint_text,maintenance_action,has_mechanical_issue
Subaru,Forester,2010,48282,22.3,2,1,1.72,449.73,987.86,Complaints about 2010 Subaru Forester include air conditioning fault and 48282 after sudden shutdown maintenance. Owner felt disappointed after battery inspection.,battery inspection,0
Chevrolet,Malibu,2022,45913,16.9,2,1,3.41,472.45,1094.05,Complaints about 2022 Chevrolet Malibu include brake wear and 45913 after reduced acceleration maintenance. Owner felt unsafe and comfortable after tire rotation.,tire rotation,0
Chevrolet,Silverado,2011,60150,22.5,5,2,4.55,642.78,1222.15,Complaints about 2011 Chevrolet Silverado include suspension noise and 60150 after increased stopping distance maintenance. Owner felt expensive after tire rotation.,tire rotation,0
Hyundai,Tucson,2014,73076,18.8,0,1,3.92,454.36,1237.13,2014 Hyundai Tucson owner reported electrical system glitch leading to 73076 during reduced acceleration driving. Owner felt disappointed after software update.,software update,0
Honda,CR-V,2015,74064,16.6,2,0,4.15,747.39,1704.13,2015 Honda CR-V owner reported air conditioning fault leading to 74064 during warning chimes driving. Owner felt average after tire rotation.,tire rotation,0
Chevrolet,Malibu,2019,51580,20.3,2,0,1.98,564.78,826.37,Complaints about 2019 Chevrolet Malibu include transmission failure and 51580 after reduced acceleration maintenance. Owner felt expensive and comfortable after tire rotation.,tire rotation,1
Honda,Civic,2015,69038,17.6,1,3,3.38,815.94,1410.41,2015 Honda Civic experienced engine stalling around 69038 miles causing warning chimes. Owner felt annoying after battery inspection.,battery inspection,0
Hyundai,Sonata,2015,64773,15.3,4,0,3.28,754.1,993.25,2015 Hyundai Sonata experienced suspension noise around 64773 miles causing loss of power steering. Owner felt annoying and reliable after software update.,software update,0
Honda,Accord,2019,91592,16.8,3,1,1.25,1169.97,878.99,Complaints about 2019 Honda Accord include brake wear and 91592 after warning chimes maintenance. Owner felt annoying after brake pad replacement.,brake pad replacement,0
Ford,F-150,2015,70288,20.6,3,0,3.52,259.42,570.89,2015 Ford F-150 suffers from air conditioning fault with 70288 warning lights at sudden shutdown mileage. Owner felt unsafe and quiet after battery inspection.,battery inspection,1
BMW,5 Series,2015,61758,19.7,1,2,3.25,556.34,931.8,2015 BMW 5 Series experienced infotainment crash around 61758 miles causing increased stopping distance. Owner felt average after battery inspection.,battery inspection,0
Hyundai,Tucson,2013,36267,15.6,6,0,3.6,656.12,1015.35,2013 Hyundai Tucson owner reported battery degradation leading to 36267 during reduced acceleration driving. Owner felt annoying and smooth after oil change.,oil change,0
Tesla,Model S,2021,64794,16.9,2,0,0.16,766.26,1295.4,2021 Tesla Model S owner reported infotainment crash leading to 64794 during sudden shutdown driving. Owner felt expensive after brake pad replacement.,brake pad replacement,0
Honda,CR-V,2022,39596,22.0,2,1,4.33,602.9,1147.57,2022 Honda CR-V suffers from brake wear with 39596 warning lights at dashboard malfunction mileage. Owner felt unsafe after oil change.,oil change,1
Hyundai,Sonata,2015,87438,19.4,1,1,6.29,906.64,1738.97,2015 Hyundai Sonata suffers from air conditioning fault with 87438 warning lights at loss of power steering mileage. Owner felt smooth after tire rotation.,tire rotation,0
Subaru,Impreza,2017,90330,18.7,2,0,0.09,531.32,1193.09,2017 Subaru Impreza owner reported transmission failure leading to 90330 during reduced acceleration driving. Owner felt annoying and satisfied after oil change.,oil change,0
Tesla,Model S,2017,38702,17.7,0,0,1.91,862.18,1466.56,Complaints about 2017 Tesla Model S include suspension noise and 38702 after loss of power steering maintenance. Owner felt annoying and quiet after oil change.,oil change,0
Chevrolet,Silverado,2020,87242,18.6,5,0,4.64,833.4,1677.42,Complaints about 2020 Chevrolet Silverado include electrical system glitch and 87242 after loss of power steering maintenance. Owner felt annoying after software update.,software update,1
Chevrolet,Equinox,2014,47645,8.0,1,1,4.41,472.54,952.81,2014 Chevrolet Equinox suffers from brake wear with 47645 warning lights at warning chimes mileage. Owner felt unsafe after oil change.,oil change,0
Tesla,Model Y,2021,43572,26.3,1,0,2.77,1056.81,1406.74,2021 Tesla Model Y owner reported infotainment crash leading to 43572 during warning chimes driving. Owner felt average after oil change.,oil change,0
Subaru,Forester,2016,58347,10.1,5,2,3.18,777.67,989.69,2016 Subaru Forester owner reported brake wear leading to 58347 during sudden shutdown driving. Owner felt average after software update.,software update,0
BMW,X3,2011,43966,18.7,3,1,4.69,703.96,1267.2,2011 BMW X3 experienced engine stalling around 43966 miles causing dashboard malfunction. Owner felt annoying and smooth after battery inspection.,battery inspection,1
Chevrolet,Equinox,2016,91600,17.0,2,0,4.84,746.2,1459.25,Complaints about 2016 Chevrolet Equinox include transmission failure and 91600 after sudden shutdown maintenance. Owner felt smooth after brake pad replacement.,brake pad replacement,1
Honda,Civic,2019,58909,12.2,2,3,4.23,661.65,831.15,2019 Honda Civic owner reported transmission failure leading to 58909 during warning chimes driving. Owner felt smooth after brake pad replacement.,brake pad replacement,1
Tesla,Model 3,2011,65649,13.5,2,0,7.76,182.2,844.69,2011 Tesla Model 3 suffers from suspension noise with 65649 warning lights at reduced acceleration mileage. Owner felt disappointed and reliable after oil change.,oil change,0
Ford,F-150,2015,86959,15.4,3,1,0.58,975.54,1558.46,2015 Ford F-150 suffers from transmission failure with 86959 warning lights at warning chimes mileage. Owner felt expensive and smooth after battery inspection.,battery inspection,1
Toyota,Corolla,2016,48349,10.5,2,1,3.33,542.0,1307.25,Complaints about 2016 Toyota Corolla include electrical system glitch and 48349 after increased stopping distance maintenance. Owner felt comfortable after tire rotation.,tire rotation,1
Toyota,RAV4,2017,64668,25.7,1,0,2.11,740.22,1277.0,2017 Toyota RAV4 experienced air conditioning fault around 64668 miles causing reduced acceleration. Owner felt average after oil change.,oil change,0
Tesla,Model S,2017,86126,21.4,4,0,5.62,277.96,1363.44,2017 Tesla Model S suffers from battery degradation with 86126 warning lights at loss of power steering mileage. Owner felt frustrating and satisfied after tire rotation.,tire rotation,1
Subaru,Forester,2017,60497,17.2,4,1,5.16,771.27,1137.48,2017 Subaru Forester suffers from infotainment crash with 60497 warning lights at increased stopping distance mileage. Owner felt average after brake pad replacement.,brake pad replacement,0
Ford,Escape,2017,71713,22.0,0,0,2.46,965.95,975.79,2017 Ford Escape experienced electrical system glitch around 71713 miles causing warning chimes. Owner felt satisfied after battery inspection.,battery inspection,0
Subaru,Outback,2018,36959,24.4,0,2,2.03,517.75,1204.72,Complaints about 2018 Subaru Outback include air conditioning fault and 36959 after loss of power steering maintenance. Owner felt disappointed after software update.,software update,0
Chevrolet,Silverado,2017,41621,20.7,0,1,6.29,605.92,1503.03,2017 Chevrolet Silverado experienced transmission failure around 41621 miles causing increased stopping distance. Owner felt average after oil change.,oil change,0
Chevrolet,Malibu,2020,61698,12.7,5,1,3.92,554.78,1239.92,Complaints about 2020 Chevrolet Malibu include electrical system glitch and 61698 after sudden shutdown maintenance. Owner felt unsafe after software update.,software update,1
Ford,Escape,2012,70778,9.1,1,0,5.91,945.96,1320.07,2012 Ford Escape experienced electrical system glitch around 70778 miles causing warning chimes. Owner felt expensive and comfortable after battery inspection.,battery inspection,0
Ford,Escape,2010,87333,16.1,5,2,3.4,423.48,1464.13,2010 Ford Escape suffers from suspension noise with 87333 warning lights at increased stopping distance mileage. Owner felt average after tire rotation.,tire rotation,1
BMW,5 Series,2017,62761,14.9,4,0,3.32,371.55,1241.94,2017 BMW 5 Series owner reported brake wear leading to 62761 during warning chimes driving. Owner felt unsafe after brake pad replacement.,brake pad replacement,0
Hyundai,Tucson,2019,70075,26.8,4,0,2.56,819.0,1382.19,2019 Hyundai Tucson owner reported transmission failure leading to 70075 during warning chimes driving. Owner felt satisfied after software update.,software update,0
Ford,F-150,2021,62170,14.0,2,2,3.89,963.41,925.14,2021 Ford F-150 suffers from brake wear with 62170 warning lights at warning chimes mileage. Owner felt unsafe after battery inspection.,battery inspection,1
Tesla,Model 3,2019,71532,26.1,1,2,1.02,343.84,940.96,Complaints about 2019 Tesla Model 3 include electrical system glitch and 71532 after warning chimes maintenance. Owner felt frustrating and smooth after battery inspection.,battery inspection,0
Honda,Accord,2010,42767,21.3,0,1,2.2,952.62,1297.59,Complaints about 2010 Honda Accord include suspension noise and 42767 after increased stopping distance maintenance. Owner felt average after battery inspection.,battery inspection,1
BMW,X3,2013,67161,25.0,1,1,2.95,383.3,1704.53,Complaints about 2013 BMW X3 include suspension noise and 67161 after loss of power steering maintenance. Owner felt average after brake pad replacement.,brake pad replacement,0
Toyota,Camry,2020,53690,21.7,3,1,3.74,546.59,1180.07,2020 Toyota Camry suffers from transmission failure with 53690 warning lights at increased stopping distance mileage. Owner felt disappointed and reliable after battery inspection.,battery inspection,0
Ford,Fusion,2018,84047,20.2,4,3,3.53,334.44,633.87,Complaints about 2018 Ford Fusion include battery degradation and 84047 after sudden shutdown maintenance. Owner felt frustrating and satisfied after oil change.,oil change,1
Chevrolet,Equinox,2016,43865,23.5,1,1,2.01,412.99,1214.91,2016 Chevrolet Equinox experienced engine stalling around 43865 miles causing loss of power steering. Owner felt reliable after software update.,software update,1
Hyundai,Sonata,2016,40103,18.7,1,3,3.12,526.77,1011.68,2016 Hyundai Sonata owner reported suspension noise leading to 40103 during sudden shutdown driving. Owner felt expensive after oil change.,oil change,0
Honda,Accord,2013,59652,5.0,2,1,4.09,1060.44,1265.04,2013 Honda Accord experienced transmission failure around 59652 miles causing increased stopping distance. Owner felt smooth after software update.,software update,0
Hyundai,Sonata,2015,68914,24.1,0,2,5.29,360.0,1326.72,2015 Hyundai Sonata owner reported brake wear leading to 68914 during warning chimes driving. Owner felt unsafe after tire rotation.,tire rotation,1
BMW,3 Series,2022,64380,27.7,2,2,2.58,795.68,1023.21,2022 BMW 3 Series owner reported engine stalling leading to 64380 during loss of power steering driving. Owner felt average after software update.,software update,0
Toyota,RAV4,2020,57024,25.8,3,2,3.94,683.1,917.27,2020 Toyota RAV4 owner reported electrical system glitch leading to 57024 during increased stopping distance driving. Owner felt frustrating and quiet after battery inspection.,battery inspection,1
Chevrolet,Malibu,2020,69092,24.2,1,4,2.75,769.87,1092.22,2020 Chevrolet Malibu owner reported suspension noise leading to 69092 during reduced acceleration driving. Owner felt comfortable after tire rotation.,tire rotation,0
Toyota,Camry,2020,60419,13.8,3,1,5.87,530.65,964.76,2020 Toyota Camry suffers from engine stalling with 60419 warning lights at increased stopping distance mileage. Owner felt unsafe after brake pad replacement.,brake pad replacement,1
Hyundai,Tucson,2010,51795,18.0,1,1,4.12,842.47,1169.29,2010 Hyundai Tucson experienced electrical system glitch around 51795 miles causing dashboard malfunction. Owner felt average after battery inspection.,battery inspection,0
Subaru,Outback,2013,52630,25.5,1,0,4.09,582.93,1155.36,2013 Subaru Outback suffers from brake wear with 52630 warning lights at reduced acceleration mileage. Owner felt average after tire rotation.,tire rotation,0
Tesla,Model 3,2013,15276,23.9,2,3,2.78,504.6,1155.62,2013 Tesla Model 3 experienced air conditioning fault around 15276 miles causing increased stopping distance. Owner felt disappointed and smooth after brake pad replacement.,brake pad replacement,0
Subaru,Outback,2019,46439,23.6,1,2,4.6,534.46,1217.65,2019 Subaru Outback suffers from transmission failure with 46439 warning lights at warning chimes mileage. Owner felt average after software update.,software update,1
Hyundai,Sonata,2015,39091,12.8,2,0,2.28,672.91,1354.95,2015 Hyundai Sonata experienced infotainment crash around 39091 miles causing loss of power steering. Owner felt frustrating after oil change.,oil change,0
Chevrolet,Malibu,2022,50520,15.7,1,0,4.98,791.51,951.16,2022 Chevrolet Malibu suffers from suspension noise with 50520 warning lights at increased stopping distance mileage. Owner felt expensive after brake pad replacement.,brake pad replacement,0
Hyundai,Sonata,2014,37142,13.1,1,1,3.88,1031.53,1330.96,2014 Hyundai Sonata experienced infotainment crash around 37142 miles causing loss of power steering. Owner felt frustrating after brake pad replacement.,brake pad replacement,0
Hyundai,Tucson,2016,57838,22.0,4,1,4.2,723.71,1176.56,2016 Hyundai Tucson suffers from battery degradation with 57838 warning lights at warning chimes mileage. Owner felt expensive and reliable after oil change.,oil change,0
Chevrolet,Malibu,2012,53491,13.0,2,0,1.46,843.41,1033.78,2012 Chevrolet Malibu experienced transmission failure around 53491 miles causing warning chimes. Owner felt expensive after tire rotation.,tire rotation,0
Tesla,Model 3,2019,65613,24.4,1,0,3.07,368.84,1184.97,Complaints about 2019 Tesla Model 3 include brake wear and 65613 after loss of power steering maintenance. Owner felt average after tire rotation.,tire rotation,0
Subaru,Impreza,2017,63159,8.0,3,0,3.97,704.91,557.26,Complaints about 2017 Subaru Impreza include electrical system glitch and 63159 after loss of power steering maintenance. Owner felt unsafe and reliable after tire rotation.,tire rotation,1
BMW,3 Series,2018,24159,24.2,2,3,2.69,761.58,1664.96,2018 BMW 3 Series owner reported brake wear leading to 24159 during reduced acceleration driving. Owner felt reliable after brake pad replacement.,brake pad replacement,1
Honda,CR-V,2020,58272,18.0,4,3,4.68,991.23,898.56,2020 Honda CR-V suffers from battery degradation with 58272 warning lights at sudden shutdown mileage. Owner felt satisfied after battery inspection.,battery inspection,1
Ford,Escape,2011,58943,15.9,1,0,1.71,479.53,1070.28,Complaints about 2011 Ford Escape include brake wear and 58943 after reduced acceleration maintenance. Owner felt expensive and smooth after brake pad replacement.,brake pad replacement,0
Chevrolet,Equinox,2021,60197,12.3,2,4,0.35,502.33,1378.94,2021 Chevrolet Equinox owner reported battery degradation leading to 60197 during dashboard malfunction driving. Owner felt expensive after battery inspection.,battery inspection,1
Hyundai,Sonata,2014,85382,10.8,2,2,2.66,461.18,1283.92,Complaints about 2014 Hyundai Sonata include suspension noise and 85382 after loss of power steering maintenance. Owner felt frustrating and quiet after software update.,software update,1
Ford,Escape,2015,51851,24.4,2,1,6.8,530.69,762.62,2015 Ford Escape suffers from infotainment crash with 51851 warning lights at warning chimes mileage. Owner felt unsafe and satisfied after oil change.,oil change,0
Tesla,Model Y,2020,33367,8.1,4,0,5.67,719.25,1077.01,2020 Tesla Model Y experienced electrical system glitch around 33367 miles causing warning chimes. Owner felt frustrating and comfortable after brake pad replacement.,brake pad replacement,0
Toyota,Corolla,2018,60588,15.5,1,2,3.52,829.87,1088.51,Complaints about 2018 Toyota Corolla include battery degradation and 60588 after sudden shutdown maintenance. Owner felt average after software update.,software update,0
Tesla,Model Y,2017,54320,27.7,3,2,6.61,179.21,1061.64,2017 Tesla Model Y experienced air conditioning fault around 54320 miles causing increased stopping distance. Owner felt annoying and satisfied after battery inspection.,battery inspection,1
Ford,Escape,2014,58097,18.1,3,1,3.52,676.3,983.35,2014 Ford Escape owner reported infotainment crash leading to 58097 during dashboard malfunction driving. Owner felt reliable after battery inspection.,battery inspection,1
Chevrolet,Malibu,2022,71018,20.6,2,1,1.27,681.47,1304.52,2022 Chevrolet Malibu suffers from battery degradation with 71018 warning lights at loss of power steering mileage. Owner felt expensive after tire rotation.,tire rotation,1
Ford,F-150,2018,99791,20.2,1,1,3.75,670.34,1264.12,2018 Ford F-150 experienced air conditioning fault around 99791 miles causing loss of power steering. Owner felt disappointed and comfortable after software update.,software update,1
Hyundai,Elantra,2013,75330,21.6,1,2,2.71,813.73,1164.6,2013 Hyundai Elantra experienced transmission failure around 75330 miles causing reduced acceleration. Owner felt comfortable after tire rotation.,tire rotation,0
Tesla,Model S,2012,56968,16.7,2,1,6.08,364.81,1229.52,2012 Tesla Model S owner reported infotainment crash leading to 56968 during loss of power steering driving. Owner felt annoying after software update.,software update,1
Toyota,RAV4,2022,67193,14.7,1,0,1.08,315.17,1200.23,2022 Toyota RAV4 experienced suspension noise around 67193 miles causing warning chimes. Owner felt average after software update.,software update,0
Ford,Escape,2013,52191,25.0,4,1,3.5,712.45,1096.67,2013 Ford Escape owner reported air conditioning fault leading to 52191 during reduced acceleration driving. Owner felt annoying and quiet after tire rotation.,tire rotation,0
Ford,F-150,2018,41513,20.8,1,0,4.68,511.06,976.68,Complaints about 2018 Ford F-150 include battery degradation and 41513 after sudden shutdown maintenance. Owner felt frustrating after tire rotation.,tire rotation,0
Subaru,Outback,2018,49589,8.7,1,1,5.55,833.47,1880.48,2018 Subaru Outback experienced battery degradation around 49589 miles causing sudden shutdown. Owner felt frustrating after battery inspection.,battery inspection,0
Hyundai,Tucson,2019,69602,16.6,2,1,2.25,188.66,1234.01,Complaints about 2019 Hyundai Tucson include engine stalling and 69602 after dashboard malfunction maintenance. Owner felt average after tire rotation.,tire rotation,0
Toyota,RAV4,2014,35983,16.2,1,0,2.72,637.59,1235.22,2014 Toyota RAV4 owner reported electrical system glitch leading to 35983 during increased stopping distance driving. Owner felt average after tire rotation.,tire rotation,1
BMW,X3,2017,74693,16.1,0,2,1.78,500.8,890.14,Complaints about 2017 BMW X3 include air conditioning fault and 74693 after loss of power steering maintenance. Owner felt annoying after software update.,software update,1
Chevrolet,Malibu,2018,65742,28.0,3,1,5.77,618.35,320,2018 Chevrolet Malibu owner reported brake wear leading to 65742 during sudden shutdown driving. Owner felt satisfied after brake pad replacement.,brake pad replacement,0
Ford,F-150,2010,54750,14.6,2,0,3.74,561.1,1570.71,Complaints about 2010 Ford F-150 include electrical system glitch and 54750 after warning chimes maintenance. Owner felt expensive after battery inspection.,battery inspection,1
Tesla,Model 3,2021,65270,12.5,4,1,3.86,287.89,1603.37,2021 Tesla Model 3 experienced infotainment crash around 65270 miles causing sudden shutdown. Owner felt disappointed and smooth after software update.,software update,1
Subaru,Forester,2022,32047,12.1,1,1,2.37,898.73,1393.59,Complaints about 2022 Subaru Forester include transmission failure and 32047 after increased stopping distance maintenance. Owner felt annoying after oil change.,oil change,1
Ford,Escape,2018,64819,23.7,4,0,1.16,792.2,1069.82,Complaints about 2018 Ford Escape include infotainment crash and 64819 after dashboard malfunction maintenance. Owner felt expensive after brake pad replacement.,brake pad replacement,0
Ford,Escape,2019,56630,22.7,3,1,0.74,637.44,1074.08,2019 Ford Escape owner reported transmission failure leading to 56630 during reduced acceleration driving. Owner felt frustrating and comfortable after software update.,software update,1
Chevrolet,Malibu,2018,64475,25.3,5,1,2.21,621.68,1386.65,2018 Chevrolet Malibu experienced brake wear around 64475 miles causing sudden shutdown. Owner felt unsafe after oil change.,oil change,0
BMW,3 Series,2010,63702,14.7,4,1,6.9,774.67,1304.94,2010 BMW 3 Series experienced air conditioning fault around 63702 miles causing increased stopping distance. Owner felt comfortable after brake pad replacement.,brake pad replacement,1
Ford,F-150,2015,54361,12.8,3,0,3.42,867.46,2114.09,Complaints about 2015 Ford F-150 include brake wear and 54361 after reduced acceleration maintenance. Owner felt comfortable after battery inspection.,battery inspection,0
Chevrolet,Equinox,2013,59986,12.3,2,0,2.71,483.1,876.28,2013 Chevrolet Equinox owner reported electrical system glitch leading to 59986 during reduced acceleration driving. Owner felt average after battery inspection.,battery inspection,1
Ford,Escape,2011,25799,12.8,0,0,5.49,406.71,1259.83,2011 Ford Escape suffers from infotainment crash with 25799 warning lights at dashboard malfunction mileage. Owner felt disappointed and smooth after software update.,software update,1
Tesla,Model Y,2019,29248,11.8,1,0,2.01,671.99,1041.84,2019 Tesla Model Y owner reported air conditioning fault leading to 29248 during warning chimes driving. Owner felt disappointed and smooth after battery inspection.,battery inspection,1
Toyota,Corolla,2016,63839,26.8,1,0,5.26,583.55,860.55,2016 Toyota Corolla suffers from air conditioning fault with 63839 warning lights at reduced acceleration mileage. Owner felt average after oil change.,oil change,0
Subaru,Impreza,2021,44641,11.3,2,0,2.58,215.38,1364.54,2021 Subaru Impreza suffers from electrical system glitch with 44641 warning lights at increased stopping distance mileage. Owner felt expensive after oil change.,oil change,0
Chevrolet,Equinox,2017,49750,21.1,3,0,2.56,637.03,1358.25,2017 Chevrolet Equinox owner reported engine stalling leading to 49750 during reduced acceleration driving. Owner felt annoying and comfortable after battery inspection.,battery inspection,0
Chevrolet,Equinox,2011,45584,18.0,3,0,6.11,451.55,1289.06,2011 Chevrolet Equinox owner reported infotainment crash leading to 45584 during warning chimes driving. Owner felt frustrating after battery inspection.,battery inspection,0
Ford,F-150,2012,70230,26.5,1,1,2.9,571.49,1336.83,2012 Ford F-150 suffers from brake wear with 70230 warning lights at sudden shutdown mileage. Owner felt frustrating after battery inspection.,battery inspection,0
Chevrolet,Malibu,2020,67430,11.9,0,1,3.77,357.49,1077.72,2020 Chevrolet Malibu owner reported electrical system glitch leading to 67430 during sudden shutdown driving. Owner felt reliable after oil change.,oil change,0
Tesla,Model S,2011,74847,19.9,1,2,3.75,516.26,820.84,Complaints about 2011 Tesla Model S include transmission failure and 74847 after sudden shutdown maintenance. Owner felt average after software update.,software update,0
Honda,Accord,2017,65464,24.1,2,2,5.46,610.65,780.97,Complaints about 2017 Honda Accord include engine stalling and 65464 after dashboard malfunction maintenance. Owner felt quiet after battery inspection.,battery inspection,0
BMW,3 Series,2019,43222,15.2,2,3,5.86,696.29,1629.71,Complaints about 2019 BMW 3 Series include infotainment crash and 43222 after dashboard malfunction maintenance. Owner felt disappointed and smooth after software update.,software update,0
Tesla,Model 3,2014,79655,15.6,1,0,5.54,423.34,1436.5,Complaints about 2014 Tesla Model 3 include transmission failure and 79655 after reduced acceleration maintenance. Owner felt average after software update.,software update,0
Toyota,RAV4,2012,39070,19.0,3,1,4.23,490.34,1159.08,Complaints about 2012 Toyota RAV4 include transmission failure and 39070 after reduced acceleration maintenance. Owner felt disappointed and reliable after software update.,software update,1
Subaru,Impreza,2018,47100,22.3,4,0,1.65,872.93,1261.22,2018 Subaru Impreza suffers from air conditioning fault with 47100 warning lights at reduced acceleration mileage. Owner felt unsafe and satisfied after software update.,software update,0
Chevrolet,Silverado,2017,33147,17.6,2,2,2.14,983.26,1894.73,2017 Chevrolet Silverado suffers from battery degradation with 33147 warning lights at reduced acceleration mileage. Owner felt average after battery inspection.,battery inspection,1
Toyota,RAV4,2019,84659,21.7,1,2,2.4,666.75,772.45,2019 Toyota RAV4 owner reported electrical system glitch leading to 84659 during loss of power steering driving. Owner felt unsafe after software update.,software update,0
Tesla,Model 3,2012,59610,19.0,2,0,3.11,760.47,1130.74,Complaints about 2012 Tesla Model 3 include electrical system glitch and 59610 after reduced acceleration maintenance. Owner felt average after tire rotation.,tire rotation,1
Toyota,Corolla,2020,48257,23.6,0,1,4.02,890.44,933.16,Complaints about 2020 Toyota Corolla include air conditioning fault and 48257 after increased stopping distance maintenance. Owner felt average after software update.,software update,0
Honda,Accord,2019,78571,26.1,3,1,3.64,805.56,1467.11,Complaints about 2019 Honda Accord include suspension noise and 78571 after dashboard malfunction maintenance. Owner felt frustrating and reliable after software update.,software update,1
Hyundai,Elantra,2014,44080,18.9,0,0,1.2,811.73,711.98,Complaints about 2014 Hyundai Elantra include suspension noise and 44080 after increased stopping distance maintenance. Owner felt expensive after tire rotation.,tire rotation,0
Ford,Escape,2016,69380,19.7,4,1,2.15,334.28,1064.6,2016 Ford Escape suffers from engine stalling with 69380 warning lights at increased stopping distance mileage. Owner felt annoying and comfortable after software update.,software update,1
Honda,CR-V,2019,32255,18.8,2,4,1.86,725.58,1335.89,2019 Honda CR-V suffers from brake wear with 32255 warning lights at dashboard malfunction mileage. Owner felt unsafe and satisfied after brake pad replacement.,brake pad replacement,0
Subaru,Impreza,2015,79795,17.5,4,2,0,425.19,1388.53,2015 Subaru Impreza suffers from transmission failure with 79795 warning lights at reduced acceleration mileage. Owner felt average after software update.,software update,1
Chevrolet,Malibu,2012,67768,14.2,3,2,3.67,685.24,1223.26,2012 Chevrolet Malibu owner reported air conditioning fault leading to 67768 during warning chimes driving. Owner felt annoying after oil change.,oil change,0
Subaru,Impreza,2012,44883,19.8,2,1,0.75,654.13,1143.99,2012 Subaru Impreza suffers from suspension noise with 44883 warning lights at sudden shutdown mileage. Owner felt annoying after software update.,software update,1
Tesla,Model S,2018,48453,29.1,0,1,5.19,735.98,1170.22,Complaints about 2018 Tesla Model S include brake wear and 48453 after increased stopping distance maintenance. Owner felt average after tire rotation.,tire rotation,0
Hyundai,Tucson,2021,53141,22.9,2,2,3.79,483.23,928.92,2021 Hyundai Tucson experienced transmission failure around 53141 miles causing warning chimes. Owner felt disappointed after software update.,software update,0
Tesla,Model S,2012,45693,14.4,2,3,2.59,823.61,1667.52,2012 Tesla Model S experienced electrical system glitch around 45693 miles causing dashboard malfunction. Owner felt average after software update.,software update,0
Ford,Escape,2022,85709,17.6,1,1,3.35,448.57,884.59,2022 Ford Escape suffers from engine stalling with 85709 warning lights at sudden shutdown mileage. Owner felt annoying after battery inspection.,battery inspection,0
Chevrolet,Equinox,2020,40375,16.1,1,0,1.65,865.46,1055.43,2020 Chevrolet Equinox experienced suspension noise around 40375 miles causing increased stopping distance. Owner felt average after tire rotation.,tire rotation,0
Tesla,Model S,2014,59268,20.7,4,1,2.14,937.3,1361.06,2014 Tesla Model S suffers from transmission failure with 59268 warning lights at sudden shutdown mileage. Owner felt annoying and satisfied after oil change.,oil change,1
Toyota,Camry,2019,77090,29.9,5,1,5.69,388.12,664.5,Complaints about 2019 Toyota Camry include battery degradation and 77090 after sudden shutdown maintenance. Owner felt frustrating after software update.,software update,0
Tesla,Model S,2021,81118,12.1,1,0,3.78,437.0,1147.6,2021 Tesla Model S experienced brake wear around 81118 miles causing reduced acceleration. Owner felt comfortable after battery inspection.,battery inspection,1
Hyundai,Elantra,2012,64583,11.8,1,1,3.04,732.06,1224.91,2012 Hyundai Elantra suffers from brake wear with 64583 warning lights at dashboard malfunction mileage. Owner felt reliable after brake pad replacement.,brake pad replacement,0
Tesla,Model 3,2021,52813,23.2,0,2,1.24,851.48,1243.62,2021 Tesla Model 3 suffers from electrical system glitch with 52813 warning lights at sudden shutdown mileage. Owner felt unsafe and satisfied after oil change.,oil change,0
Honda,Accord,2018,54713,21.3,3,2,2.27,583.87,1484.38,2018 Honda Accord suffers from engine stalling with 54713 warning lights at warning chimes mileage. Owner felt average after oil change.,oil change,1
Toyota,Camry,2010,56199,10.1,1,1,0.35,561.72,320,Complaints about 2010 Toyota Camry include transmission failure and 56199 after loss of power steering maintenance. Owner felt disappointed after oil change.,oil change,0
Hyundai,Tucson,2018,75551,22.7,1,0,5.3,508.9,921.3,2018 Hyundai Tucson experienced transmission failure around 75551 miles causing reduced acceleration. Owner felt average after brake pad replacement.,brake pad replacement,0
Honda,Accord,2019,69587,25.0,1,2,4.1,431.55,1521.01,2019 Honda Accord owner reported infotainment crash leading to 69587 during loss of power steering driving. Owner felt average after software update.,software update,0
Ford,Escape,2011,20565,20.4,3,1,4.15,995.15,1541.81,2011 Ford Escape suffers from infotainment crash with 20565 warning lights at reduced acceleration mileage. Owner felt disappointed after oil change.,oil change,0
Tesla,Model S,2021,69111,8.3,2,1,5.66,535.42,1383.74,Complaints about 2021 Tesla Model S include air conditioning fault and 69111 after increased stopping distance maintenance. Owner felt expensive and reliable after software update.,software update,0
Honda,CR-V,2015,62213,29.5,3,0,0,745.01,1310.91,2015 Honda CR-V owner reported air conditioning fault leading to 62213 during dashboard malfunction driving. Owner felt unsafe and comfortable after oil change.,oil change,1
Hyundai,Elantra,2011,57946,5,2,0,5.65,434.56,977.47,2011 Hyundai Elantra owner reported electrical system glitch leading to 57946 during warning chimes driving. Owner felt frustrating and comfortable after oil change.,oil change,0
Subaru,Outback,2011,52670,11.2,1,2,3.85,879.75,1561.75,Complaints about 2011 Subaru Outback include suspension noise and 52670 after loss of power steering maintenance. Owner felt expensive and smooth after brake pad replacement.,brake pad replacement,1
Hyundai,Sonata,2016,66539,22.8,5,2,4.73,450.46,1601.33,2016 Hyundai Sonata suffers from air conditioning fault with 66539 warning lights at loss of power steering mileage. Owner felt annoying after brake pad replacement.,brake pad replacement,0
Ford,Fusion,2010,59453,16.4,4,2,3.75,558.4,1203.7,2010 Ford Fusion owner reported transmission failure leading to 59453 during warning chimes driving. Owner felt disappointed after brake pad replacement.,brake pad replacement,1
